ID,Category,Requirement,Test Case Description,Pre-conditions,Execution Steps,Expected Result,Status,Severity
TC_107,UI_UX,Requirement_107,Test Case for UI_UX 107,System Ready,Execute 107,Result 107,Pass,Medium
TC_108,UI_UX,Requirement_108,Test Case for UI_UX 108,System Ready,Execute 108,Result 108,Pass,Medium
TC_109,UI_UX,Requirement_109,Test Case for UI_UX 109,System Ready,Execute 109,Result 109,Pass,Medium
TC_110,UI_UX,Requirement_110,Test Case for UI_UX 110,System Ready,Execute 110,Result 110,Pass,Medium
TC_111,UI_UX,Requirement_111,Test Case for UI_UX 111,System Ready,Execute 111,Result 111,Pass,Medium
TC_112,UI_UX,Requirement_112,Test Case for UI_UX 112,System Ready,Execute 112,Result 112,Pass,Medium
TC_113,UI_UX,Requirement_113,Test Case for UI_UX 113,System Ready,Execute 113,Result 113,Pass,Medium
TC_114,UI_UX,Requirement_114,Test Case for UI_UX 114,System Ready,Execute 114,Result 114,Pass,Medium
TC_115,UI_UX,Requirement_115,Test Case for UI_UX 115,System Ready,Execute 115,Result 115,Pass,Medium
TC_116,UI_UX,Requirement_116,Test Case for UI_UX 116,System Ready,Execute 116,Result 116,Pass,Medium
TC_117,UI_UX,Requirement_117,Test Case for UI_UX 117,System Ready,Execute 117,Result 117,Pass,Medium
TC_118,UI_UX,Requirement_118,Test Case for UI_UX 118,System Ready,Execute 118,Result 118,Pass,Medium
TC_119,UI_UX,Requirement_119,Test Case for UI_UX 119,System Ready,Execute 119,Result 119,Pass,Medium
TC_120,UI_UX,Requirement_120,Test Case for UI_UX 120,System Ready,Execute 120,Result 120,Pass,Medium
TC_121,UI_UX,Requirement_121,Test Case for UI_UX 121,System Ready,Execute 121,Result 121,Pass,Medium
TC_122,UI_UX,Requirement_122,Test Case for UI_UX 122,System Ready,Execute 122,Result 122,Pass,Medium
TC_123,UI_UX,Requirement_123,Test Case for UI_UX 123,System Ready,Execute 123,Result 123,Pass,Medium
TC_124,UI_UX,Requirement_124,Test Case for UI_UX 124,System Ready,Execute 124,Result 124,Pass,Medium
TC_125,UI_UX,Requirement_125,Test Case for UI_UX 125,System Ready,Execute 125,Result 125,Pass,Medium
TC_126,UI_UX,Requirement_126,Test Case for UI_UX 126,System Ready,Execute 126,Result 126,Pass,Medium
TC_127,UI_UX,Requirement_127,Test Case for UI_UX 127,System Ready,Execute 127,Result 127,Pass,Medium
TC_128,UI_UX,Requirement_128,Test Case for UI_UX 128,System Ready,Execute 128,Result 128,Pass,Medium
TC_129,UI_UX,Requirement_129,Test Case for UI_UX 129,System Ready,Execute 129,Result 129,Pass,Medium
TC_130,UI_UX,Requirement_130,Test Case for UI_UX 130,System Ready,Execute 130,Result 130,Pass,Medium
TC_131,UI_UX,Requirement_131,Test Case for UI_UX 131,System Ready,Execute 131,Result 131,Pass,Medium
TC_132,UI_UX,Requirement_132,Test Case for UI_UX 132,System Ready,Execute 132,Result 132,Pass,Medium
TC_133,UI_UX,Requirement_133,Test Case for UI_UX 133,System Ready,Execute 133,Result 133,Pass,Medium
TC_134,UI_UX,Requirement_134,Test Case for UI_UX 134,System Ready,Execute 134,Result 134,Pass,Medium
TC_135,UI_UX,Requirement_135,Test Case for UI_UX 135,System Ready,Execute 135,Result 135,Pass,Medium
TC_136,UI_UX,Requirement_136,Test Case for UI_UX 136,System Ready,Execute 136,Result 136,Pass,Medium
TC_137,UI_UX,Requirement_137,Test Case for UI_UX 137,System Ready,Execute 137,Result 137,Pass,Medium
TC_138,UI_UX,Requirement_138,Test Case for UI_UX 138,System Ready,Execute 138,Result 138,Pass,Medium
TC_139,UI_UX,Requirement_139,Test Case for UI_UX 139,System Ready,Execute 139,Result 139,Pass,Medium
TC_140,UI_UX,Requirement_140,Test Case for UI_UX 140,System Ready,Execute 140,Result 140,Pass,Medium
TC_141,UI_UX,Requirement_141,Test Case for UI_UX 141,System Ready,Execute 141,Result 141,Pass,Medium
TC_142,UI_UX,Requirement_142,Test Case for UI_UX 142,System Ready,Execute 142,Result 142,Pass,Medium
TC_143,UI_UX,Requirement_143,Test Case for UI_UX 143,System Ready,Execute 143,Result 143,Pass,Medium
TC_144,UI_UX,Requirement_144,Test Case for UI_UX 144,System Ready,Execute 144,Result 144,Pass,Medium
TC_145,UI_UX,Requirement_145,Test Case for UI_UX 145,System Ready,Execute 145,Result 145,Pass,Medium
TC_146,UI_UX,Requirement_146,Test Case for UI_UX 146,System Ready,Execute 146,Result 146,Pass,Medium
TC_147,UI_UX,Requirement_147,Test Case for UI_UX 147,System Ready,Execute 147,Result 147,Pass,Medium
TC_148,UI_UX,Requirement_148,Test Case for UI_UX 148,System Ready,Execute 148,Result 148,Pass,Medium
TC_149,UI_UX,Requirement_149,Test Case for UI_UX 149,System Ready,Execute 149,Result 149,Pass,Medium
TC_150,UI_UX,Requirement_150,Test Case for UI_UX 150,System Ready,Execute 150,Result 150,Pass,Medium
TC_151,API_Integration,Requirement_151,Test Case for API_Integration 151,System Ready,Execute 151,Result 151,Pass,Medium
TC_152,API_Integration,Requirement_152,Test Case for API_Integration 152,System Ready,Execute 152,Result 152,Pass,Medium
TC_153,API_Integration,Requirement_153,Test Case for API_Integration 153,System Ready,Execute 153,Result 153,Pass,Medium
TC_154,API_Integration,Requirement_154,Test Case for API_Integration 154,System Ready,Execute 154,Result 154,Pass,Medium
TC_155,API_Integration,Requirement_155,Test Case for API_Integration 155,System Ready,Execute 155,Result 155,Pass,Medium
TC_156,API_Integration,Requirement_156,Test Case for API_Integration 156,System Ready,Execute 156,Result 156,Pass,Medium
TC_157,API_Integration,Requirement_157,Test Case for API_Integration 157,System Ready,Execute 157,Result 157,Pass,Medium
TC_158,API_Integration,Requirement_158,Test Case for API_Integration 158,System Ready,Execute 158,Result 158,Pass,Medium
TC_159,API_Integration,Requirement_159,Test Case for API_Integration 159,System Ready,Execute 159,Result 159,Pass,Medium
TC_160,API_Integration,Requirement_160,Test Case for API_Integration 160,System Ready,Execute 160,Result 160,Pass,Medium
TC_161,API_Integration,Requirement_161,Test Case for API_Integration 161,System Ready,Execute 161,Result 161,Pass,Medium
TC_162,API_Integration,Requirement_162,Test Case for API_Integration 162,System Ready,Execute 162,Result 162,Pass,Medium
TC_163,API_Integration,Requirement_163,Test Case for API_Integration 163,System Ready,Execute 163,Result 163,Pass,Medium
TC_164,API_Integration,Requirement_164,Test Case for API_Integration 164,System Ready,Execute 164,Result 164,Pass,Medium
TC_165,API_Integration,Requirement_165,Test Case for API_Integration 165,System Ready,Execute 165,Result 165,Pass,Medium
TC_166,API_Integration,Requirement_166,Test Case for API_Integration 166,System Ready,Execute 166,Result 166,Pass,Medium
TC_167,API_Integration,Requirement_167,Test Case for API_Integration 167,System Ready,Execute 167,Result 167,Pass,Medium
TC_168,API_Integration,Requirement_168,Test Case for API_Integration 168,System Ready,Execute 168,Result 168,Pass,Medium
TC_169,API_Integration,Requirement_169,Test Case for API_Integration 169,System Ready,Execute 169,Result 169,Pass,Medium
TC_170,API_Integration,Requirement_170,Test Case for API_Integration 170,System Ready,Execute 170,Result 170,Pass,Medium
TC_171,API_Integration,Requirement_171,Test Case for API_Integration 171,System Ready,Execute 171,Result 171,Pass,Medium
TC_172,API_Integration,Requirement_172,Test Case for API_Integration 172,System Ready,Execute 172,Result 172,Pass,Medium
TC_173,API_Integration,Requirement_173,Test Case for API_Integration 173,System Ready,Execute 173,Result 173,Pass,Medium
TC_174,API_Integration,Requirement_174,Test Case for API_Integration 174,System Ready,Execute 174,Result 174,Pass,Medium
TC_175,API_Integration,Requirement_175,Test Case for API_Integration 175,System Ready,Execute 175,Result 175,Pass,Medium
TC_176,API_Integration,Requirement_176,Test Case for API_Integration 176,System Ready,Execute 176,Result 176,Pass,Medium
TC_177,API_Integration,Requirement_177,Test Case for API_Integration 177,System Ready,Execute 177,Result 177,Pass,Medium
TC_178,API_Integration,Requirement_178,Test Case for API_Integration 178,System Ready,Execute 178,Result 178,Pass,Medium
TC_179,API_Integration,Requirement_179,Test Case for API_Integration 179,System Ready,Execute 179,Result 179,Pass,Medium
TC_180,API_Integration,Requirement_180,Test Case for API_Integration 180,System Ready,Execute 180,Result 180,Pass,Medium
TC_181,API_Integration,Requirement_181,Test Case for API_Integration 181,System Ready,Execute 181,Result 181,Pass,Medium
TC_182,API_Integration,Requirement_182,Test Case for API_Integration 182,System Ready,Execute 182,Result 182,Pass,Medium
TC_183,API_Integration,Requirement_183,Test Case for API_Integration 183,System Ready,Execute 183,Result 183,Pass,Medium
TC_184,API_Integration,Requirement_184,Test Case for API_Integration 184,System Ready,Execute 184,Result 184,Pass,Medium
TC_185,API_Integration,Requirement_185,Test Case for API_Integration 185,System Ready,Execute 185,Result 185,Pass,Medium
TC_186,API_Integration,Requirement_186,Test Case for API_Integration 186,System Ready,Execute 186,Result 186,Pass,Medium
TC_187,API_Integration,Requirement_187,Test Case for API_Integration 187,System Ready,Execute 187,Result 187,Pass,Medium
TC_188,API_Integration,Requirement_188,Test Case for API_Integration 188,System Ready,Execute 188,Result 188,Pass,Medium
TC_189,API_Integration,Requirement_189,Test Case for API_Integration 189,System Ready,Execute 189,Result 189,Pass,Medium
TC_190,API_Integration,Requirement_190,Test Case for API_Integration 190,System Ready,Execute 190,Result 190,Pass,Medium
TC_191,API_Integration,Requirement_191,Test Case for API_Integration 191,System Ready,Execute 191,Result 191,Pass,Medium
TC_192,API_Integration,Requirement_192,Test Case for API_Integration 192,System Ready,Execute 192,Result 192,Pass,Medium
TC_193,API_Integration,Requirement_193,Test Case for API_Integration 193,System Ready,Execute 193,Result 193,Pass,Medium
TC_194,API_Integration,Requirement_194,Test Case for API_Integration 194,System Ready,Execute 194,Result 194,Pass,Medium
TC_195,API_Integration,Requirement_195,Test Case for API_Integration 195,System Ready,Execute 195,Result 195,Pass,Medium
TC_196,API_Integration,Requirement_196,Test Case for API_Integration 196,System Ready,Execute 196,Result 196,Pass,Medium
TC_197,API_Integration,Requirement_197,Test Case for API_Integration 197,System Ready,Execute 197,Result 197,Pass,Medium
TC_198,API_Integration,Requirement_198,Test Case for API_Integration 198,System Ready,Execute 198,Result 198,Pass,Medium
TC_199,API_Integration,Requirement_199,Test Case for API_Integration 199,System Ready,Execute 199,Result 199,Pass,Medium
TC_200,API_Integration,Requirement_200,Test Case for API_Integration 200,System Ready,Execute 200,Result 200,Pass,Medium
TC_201,Security,Requirement_201,Test Case for Security 201,System Ready,Execute 201,Result 201,Pass,Medium
TC_202,Security,Requirement_202,Test Case for Security 202,System Ready,Execute 202,Result 202,Pass,Medium
TC_203,Security,Requirement_203,Test Case for Security 203,System Ready,Execute 203,Result 203,Pass,Medium
TC_204,Security,Requirement_204,Test Case for Security 204,System Ready,Execute 204,Result 204,Pass,Medium
TC_205,Security,Requirement_205,Test Case for Security 205,System Ready,Execute 205,Result 205,Pass,Medium
TC_206,Security,Requirement_206,Test Case for Security 206,System Ready,Execute 206,Result 206,Pass,Medium
TC_207,Security,Requirement_207,Test Case for Security 207,System Ready,Execute 207,Result 207,Pass,Medium
TC_208,Security,Requirement_208,Test Case for Security 208,System Ready,Execute 208,Result 208,Pass,Medium
TC_209,Security,Requirement_209,Test Case for Security 209,System Ready,Execute 209,Result 209,Pass,Medium
TC_210,Security,Requirement_210,Test Case for Security 210,System Ready,Execute 210,Result 210,Pass,Medium
TC_211,Security,Requirement_211,Test Case for Security 211,System Ready,Execute 211,Result 211,Pass,Medium
TC_212,Security,Requirement_212,Test Case for Security 212,System Ready,Execute 212,Result 212,Pass,Medium
TC_213,Security,Requirement_213,Test Case for Security 213,System Ready,Execute 213,Result 213,Pass,Medium
TC_214,Security,Requirement_214,Test Case for Security 214,System Ready,Execute 214,Result 214,Pass,Medium
TC_215,Security,Requirement_215,Test Case for Security 215,System Ready,Execute 215,Result 215,Pass,Medium
TC_216,Security,Requirement_216,Test Case for Security 216,System Ready,Execute 216,Result 216,Pass,Medium
TC_217,Security,Requirement_217,Test Case for Security 217,System Ready,Execute 217,Result 217,Pass,Medium
TC_218,Security,Requirement_218,Test Case for Security 218,System Ready,Execute 218,Result 218,Pass,Medium
TC_219,Security,Requirement_219,Test Case for Security 219,System Ready,Execute 219,Result 219,Pass,Medium
TC_220,Security,Requirement_220,Test Case for Security 220,System Ready,Execute 220,Result 220,Pass,Medium
TC_221,Security,Requirement_221,Test Case for Security 221,System Ready,Execute 221,Result 221,Pass,Medium
TC_222,Security,Requirement_222,Test Case for Security 222,System Ready,Execute 222,Result 222,Pass,Medium
TC_223,Security,Requirement_223,Test Case for Security 223,System Ready,Execute 223,Result 223,Pass,Medium
TC_224,Security,Requirement_224,Test Case for Security 224,System Ready,Execute 224,Result 224,Pass,Medium
TC_225,Security,Requirement_225,Test Case for Security 225,System Ready,Execute 225,Result 225,Pass,Medium
TC_226,Security,Requirement_226,Test Case for Security 226,System Ready,Execute 226,Result 226,Pass,Medium
TC_227,Security,Requirement_227,Test Case for Security 227,System Ready,Execute 227,Result 227,Pass,Medium
TC_228,Security,Requirement_228,Test Case for Security 228,System Ready,Execute 228,Result 228,Pass,Medium
TC_229,Security,Requirement_229,Test Case for Security 229,System Ready,Execute 229,Result 229,Pass,Medium
TC_230,Security,Requirement_230,Test Case for Security 230,System Ready,Execute 230,Result 230,Pass,Medium
TC_231,Security,Requirement_231,Test Case for Security 231,System Ready,Execute 231,Result 231,Pass,Medium
TC_232,Security,Requirement_232,Test Case for Security 232,System Ready,Execute 232,Result 232,Pass,Medium
